#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       7.9674E+06,       5.7457E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       8.3000E-03,       1.4600E+01,       6.8056E-01,       1.3343E+04,       6.8510E+02,       4.8095E+03,       1.5661E+04,       9.0900E+01        
2.0000E-01,       7.4268E+06,       3.7500E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       1.1620E-02,       1.3700E+01,       8.0131E-01,       1.2655E+04,       9.7190E+02,       4.7910E+03,       1.4927E+04,       8.7400E+01        
2.0000E-01,       4.6506E+06,       3.0377E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       1.4940E-02,       1.3000E+01,       5.6195E-01,       1.2055E+04,       1.2438E+03,       4.8292E+03,       1.4291E+04,       8.1400E+01        
2.0000E-01,       4.0583E+06,       3.6064E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       1.8260E-02,       1.1950E+01,       8.2558E-01,       1.1117E+04,       1.5398E+03,       4.8145E+03,       1.3205E+04,       8.0250E+01        
2.0000E-01,       3.5372E+06,       3.4058E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       2.1580E-02,       1.0850E+01,       9.8809E-01,       1.0275E+04,       1.8372E+03,       4.8093E+03,       1.2226E+04,       7.8650E+01        
2.0000E-01,       3.2011E+06,       3.0291E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       2.4900E-02,       1.0050E+01,       7.5915E-01,       9.6852E+03,       2.1305E+03,       4.8242E+03,       1.1560E+04,       7.2900E+01        
2.0000E-01,       2.7343E+06,       3.1068E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       2.8220E-02,       9.1500E+00,       7.4516E-01,       8.8119E+03,       2.4549E+03,       4.7936E+03,       1.0616E+04,       7.1850E+01        
2.0000E-01,       2.3581E+06,       2.2254E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       3.1540E-02,       8.2000E+00,       7.6777E-01,       8.0362E+03,       2.7300E+03,       4.8349E+03,       9.7118E+03,       6.1350E+01        
2.0000E-01,       1.8676E+06,       2.8467E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       3.4860E-02,       7.1500E+00,       8.7509E-01,       7.0599E+03,       3.0240E+03,       4.8103E+03,       8.6331E+03,       5.8850E+01        
2.0000E-01,       1.3696E+06,       2.1932E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       3.8180E-02,       5.6000E+00,       5.9824E-01,       5.9638E+03,       3.3615E+03,       4.7739E+03,       7.2921E+03,       5.1200E+01        
2.0000E-01,       8.3549E+05,       3.2889E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       4.1500E-02,       4.2000E+00,       1.1517E+00,       4.5797E+03,       3.7310E+03,       4.7823E+03,       5.6748E+03,       3.8900E+01        
2.0000E-01,       4.5712E+05,       2.7298E+05,       0.0000E+00,       0.0000E+00,       8.5000E-01,       4.4820E-02,       2.8000E+00,       1.3219E+00,       3.4159E+03,       4.0738E+03,       4.8159E+03,       4.2326E+03,       2.9850E+01        
