#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       2.2279E+06,       1.6626E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       8.3000E-03,       7.0000E+00,       6.4889E-01,       8.3079E+03,       8.2670E+02,       4.8058E+03,       7.7971E+03,       5.9050E+01        
2.0000E-01,       1.9445E+06,       2.1488E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       1.1620E-02,       6.1500E+00,       9.3330E-01,       7.7549E+03,       1.1418E+03,       4.7983E+03,       7.2417E+03,       5.5850E+01        
2.0000E-01,       1.5603E+06,       2.3269E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       1.4940E-02,       5.2500E+00,       8.5070E-01,       6.8638E+03,       1.4952E+03,       4.7833E+03,       6.3058E+03,       5.0650E+01        
2.0000E-01,       1.2727E+06,       2.3155E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       1.8260E-02,       4.3500E+00,       7.4516E-01,       6.1673E+03,       1.8419E+03,       4.7789E+03,       5.5917E+03,       4.5750E+01        
2.0000E-01,       1.0259E+06,       1.4937E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       2.1580E-02,       3.5500E+00,       5.1042E-01,       5.4957E+03,       2.1786E+03,       4.7681E+03,       4.9541E+03,       3.6400E+01        
2.0000E-01,       6.9088E+05,       1.8373E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       2.4900E-02,       2.5000E+00,       6.0698E-01,       4.6021E+03,       2.5528E+03,       4.7918E+03,       3.9516E+03,       3.3300E+01        
2.0000E-01,       5.7841E+05,       1.6287E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       2.8220E-02,       2.0000E+00,       3.2444E-01,       3.8152E+03,       2.9126E+03,       4.8133E+03,       3.2921E+03,       2.3050E+01        
2.0000E-01,       2.3617E+05,       1.5921E+05,       0.0000E+00,       0.0000E+00,       9.5000E-01,       3.1540E-02,       1.2000E+00,       6.9585E-01,       2.8398E+03,       3.2970E+03,       4.7874E+03,       2.3334E+03,       1.7600E+01        
2.0000E-01,       5.2910E+04,       2.9422E+04,       0.0000E+00,       0.0000E+00,       9.5000E-01,       3.4860E-02,       1.0000E-01,       3.0779E-01,       1.9748E+03,       3.7260E+03,       4.8074E+03,       1.4083E+03,       9.8500E+00        
2.0000E-01,       4.4505E+04,       9.2511E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       3.8180E-02,       0.0000E+00,       0.0000E+00,       1.8882E+03,       3.9864E+03,       4.7998E+03,       1.5351E+03,       9.1000E+00        
2.0000E-01,       4.3074E+04,       7.0968E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       4.1500E-02,       0.0000E+00,       0.0000E+00,       1.8306E+03,       4.2009E+03,       4.7954E+03,       1.6848E+03,       9.0000E+00        
2.0000E-01,       4.2015E+04,       7.9517E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       4.4820E-02,       0.0000E+00,       0.0000E+00,       1.7795E+03,       4.3981E+03,       4.7902E+03,       1.8173E+03,       9.5500E+00        
2.0000E-01,       4.1030E+04,       6.2169E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       4.8140E-02,       0.0000E+00,       0.0000E+00,       1.7013E+03,       4.5919E+03,       4.7645E+03,       1.9466E+03,       9.8500E+00        
2.0000E-01,       3.9978E+04,       8.6070E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       5.1460E-02,       0.0000E+00,       0.0000E+00,       1.6838E+03,       4.7352E+03,       4.7889E+03,       2.0404E+03,       1.3250E+01        
2.0000E-01,       3.8736E+04,       7.8718E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       5.4780E-02,       0.0000E+00,       0.0000E+00,       1.6376E+03,       4.8999E+03,       4.7685E+03,       2.1667E+03,       1.0400E+01        
2.0000E-01,       3.7774E+04,       7.8217E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       5.8100E-02,       0.0000E+00,       0.0000E+00,       1.5951E+03,       5.0691E+03,       4.8086E+03,       2.2418E+03,       1.1750E+01        
2.0000E-01,       3.6727E+04,       1.0942E+03,       0.0000E+00,       0.0000E+00,       9.5000E-01,       6.1420E-02,       0.0000E+00,       0.0000E+00,       1.5309E+03,       5.2096E+03,       4.7904E+03,       2.3239E+03,       1.0150E+01        
2.0000E-01,       3.5982E+04,       4.3151E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       6.4740E-02,       0.0000E+00,       0.0000E+00,       1.4927E+03,       5.3555E+03,       4.8049E+03,       2.4017E+03,       1.2300E+01        
2.0000E-01,       3.4993E+04,       7.1533E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       6.8060E-02,       0.0000E+00,       0.0000E+00,       1.4681E+03,       5.4512E+03,       4.8082E+03,       2.4602E+03,       1.0750E+01        
2.0000E-01,       3.3980E+04,       6.6903E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       7.1380E-02,       0.0000E+00,       0.0000E+00,       1.4110E+03,       5.5478E+03,       4.7885E+03,       2.5134E+03,       1.2150E+01        
2.0000E-01,       3.3338E+04,       4.8781E+02,       0.0000E+00,       0.0000E+00,       9.5000E-01,       7.4700E-02,       0.0000E+00,       0.0000E+00,       1.3733E+03,       5.6373E+03,       4.8291E+03,       2.5135E+03,       1.1950E+01        
