#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       2.8323E+06,       7.4609E+04,       1.1486E+02,       2.2867E+00,       4.5000E-01,       8.3000E-03,       2.1000E+01,       0.0000E+00,       6.4474E+03,       1.5210E+02,       2.2888E+03,       1.1921E+04,       5.5700E+01        
2.0000E-01,       2.9316E+06,       7.9052E+04,       1.1579E+02,       2.1006E+00,       4.5000E-01,       1.1620E-02,       2.1000E+01,       0.0000E+00,       6.5459E+03,       2.0995E+02,       2.3409E+03,       1.2025E+04,       5.3900E+01        
2.0000E-01,       3.1479E+06,       9.4517E+04,       1.1911E+02,       2.5389E+00,       4.5000E-01,       1.4940E-02,       2.1000E+01,       0.0000E+00,       6.7635E+03,       2.7620E+02,       2.3756E+03,       1.2326E+04,       5.5650E+01        
2.0000E-01,       3.0116E+06,       1.0310E+05,       1.1988E+02,       3.4466E+00,       4.5000E-01,       1.8260E-02,       2.1000E+01,       0.0000E+00,       6.8342E+03,       3.3895E+02,       2.4041E+03,       1.2437E+04,       6.0200E+01        
2.0000E-01,       2.8710E+06,       1.0253E+05,       1.2089E+02,       2.3971E+00,       4.5000E-01,       2.1580E-02,       2.1000E+01,       0.0000E+00,       6.8902E+03,       4.0360E+02,       2.4422E+03,       1.2536E+04,       5.3500E+01        
2.0000E-01,       2.8825E+06,       1.3056E+05,       1.2157E+02,       3.2119E+00,       4.5000E-01,       2.4900E-02,       2.1000E+01,       0.0000E+00,       6.8873E+03,       4.7185E+02,       2.4417E+03,       1.2570E+04,       5.6450E+01        
2.0000E-01,       2.9520E+06,       1.1918E+05,       1.2533E+02,       3.0874E+00,       4.5000E-01,       2.8220E-02,       2.1000E+01,       0.0000E+00,       7.1253E+03,       5.6270E+02,       2.5012E+03,       1.2880E+04,       5.7300E+01        
2.0000E-01,       2.9215E+06,       1.4160E+05,       1.2633E+02,       3.2307E+00,       4.5000E-01,       3.1540E-02,       2.1000E+01,       0.0000E+00,       7.1271E+03,       6.4320E+02,       2.5387E+03,       1.2916E+04,       6.0650E+01        
2.0000E-01,       3.0622E+06,       9.9889E+04,       1.2860E+02,       3.2952E+00,       4.5000E-01,       3.4860E-02,       2.1000E+01,       0.0000E+00,       7.3081E+03,       7.1330E+02,       2.5655E+03,       1.3150E+04,       5.8750E+01        
2.0000E-01,       3.1437E+06,       1.1983E+05,       1.2999E+02,       3.7674E+00,       4.5000E-01,       3.8180E-02,       2.1000E+01,       0.0000E+00,       7.3304E+03,       7.9930E+02,       2.6036E+03,       1.3237E+04,       6.1950E+01        
2.0000E-01,       3.2481E+06,       9.9413E+04,       1.3113E+02,       2.3796E+00,       4.5000E-01,       4.1500E-02,       2.1000E+01,       0.0000E+00,       7.4443E+03,       8.6695E+02,       2.6323E+03,       1.3385E+04,       6.2100E+01        
2.0000E-01,       3.5811E+06,       1.1368E+05,       1.3524E+02,       3.0358E+00,       4.5000E-01,       4.4820E-02,       2.1000E+01,       0.0000E+00,       7.6846E+03,       9.7140E+02,       2.6951E+03,       1.3719E+04,       6.4900E+01        
2.0000E-01,       3.6057E+06,       9.6761E+04,       1.3725E+02,       2.3191E+00,       4.5000E-01,       4.8140E-02,       2.1000E+01,       0.0000E+00,       7.7765E+03,       1.0568E+03,       2.7280E+03,       1.3849E+04,       6.2050E+01        
