#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       1.5716E+07,       1.5359E+06,       0.0000E+00,       0.0000E+00,       6.7500E-01,       6.1420E-02,       1.4200E+01,       7.6777E-01,       1.0416E+04,       3.9994E+03,       4.8196E+03,       1.5530E+04,       8.4850E+01        
2.0000E-01,       1.0440E+07,       2.8220E+06,       0.0000E+00,       0.0000E+00,       6.7500E-01,       6.4740E-02,       1.2100E+01,       1.7137E+00,       8.7129E+03,       4.3406E+03,       4.8066E+03,       1.3329E+04,       7.4650E+01        
2.0000E-01,       8.8414E+06,       1.6069E+06,       0.0000E+00,       0.0000E+00,       6.7500E-01,       6.8060E-02,       1.1400E+01,       1.1425E+00,       8.1085E+03,       4.5421E+03,       4.8174E+03,       1.2607E+04,       7.2100E+01        
2.0000E-01,       5.2522E+06,       2.8156E+06,       0.0000E+00,       0.0000E+00,       6.7500E-01,       7.1380E-02,       8.6000E+00,       2.6238E+00,       5.7359E+03,       4.8758E+03,       4.8084E+03,       9.4121E+03,       5.5100E+01        
