#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       1.1354E+07,       4.0252E+05,       2.2649E+02,       5.3623E+00,       7.5000E-01,       8.3000E-03,       2.1000E+01,       0.0000E+00,       1.6407E+04,       5.4120E+02,       4.5288E+03,       2.1166E+04,       1.0630E+02        
2.0000E-01,       1.1573E+07,       3.7406E+05,       1.9732E+02,       8.5122E+01,       7.5000E-01,       1.1620E-02,       2.0850E+01,       3.6635E-01,       1.6748E+04,       7.8680E+02,       4.6451E+03,       2.1593E+04,       1.1035E+02        
2.0000E-01,       1.1745E+07,       4.2593E+05,       1.4081E+02,       1.1802E+02,       7.5000E-01,       1.4940E-02,       2.0550E+01,       6.0481E-01,       1.7009E+04,       1.0361E+03,       4.7736E+03,       2.1947E+04,       1.0945E+02        
2.0000E-01,       1.1189E+07,       5.1037E+05,       1.1969E+01,       5.3529E+01,       7.5000E-01,       1.8260E-02,       1.9350E+01,       6.7082E-01,       1.6531E+04,       1.3007E+03,       4.8011E+03,       2.1336E+04,       1.0430E+02        
2.0000E-01,       1.0312E+07,       4.7888E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       2.1580E-02,       1.8800E+01,       8.3351E-01,       1.5812E+04,       1.5308E+03,       4.8315E+03,       2.0503E+04,       1.0120E+02        
2.0000E-01,       9.7415E+06,       5.9181E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       2.4900E-02,       1.7800E+01,       8.3351E-01,       1.5067E+04,       1.7781E+03,       4.7871E+03,       1.9642E+04,       1.0560E+02        
2.0000E-01,       8.1982E+06,       4.4977E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       2.8220E-02,       1.7200E+01,       8.3351E-01,       1.4468E+04,       2.0373E+03,       4.8159E+03,       1.9041E+04,       1.0150E+02        
2.0000E-01,       8.3574E+06,       3.3382E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       3.1540E-02,       1.6400E+01,       6.8056E-01,       1.3637E+04,       2.2699E+03,       4.8217E+03,       1.8095E+04,       9.4400E+01        
2.0000E-01,       6.6609E+06,       4.2932E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       3.4860E-02,       1.5400E+01,       5.9824E-01,       1.2679E+04,       2.5283E+03,       4.8060E+03,       1.6999E+04,       9.2300E+01        
2.0000E-01,       6.0124E+06,       3.9296E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       3.8180E-02,       1.4350E+01,       5.8714E-01,       1.1904E+04,       2.7801E+03,       4.8007E+03,       1.6057E+04,       8.5400E+01        
2.0000E-01,       5.3621E+06,       4.0054E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       4.1500E-02,       1.3300E+01,       7.3270E-01,       1.0943E+04,       3.0550E+03,       4.7879E+03,       1.4928E+04,       8.4100E+01        
2.0000E-01,       5.1504E+06,       2.9104E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       4.4820E-02,       1.2250E+01,       6.3867E-01,       1.0109E+04,       3.3124E+03,       4.7819E+03,       1.3947E+04,       8.0900E+01        
2.0000E-01,       4.5257E+06,       6.6246E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       4.8140E-02,       1.1250E+01,       1.1180E+00,       9.3031E+03,       3.6001E+03,       4.7991E+03,       1.2989E+04,       7.0800E+01        
2.0000E-01,       3.6794E+06,       5.5787E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       5.1460E-02,       9.9500E+00,       8.8704E-01,       8.1321E+03,       3.8671E+03,       4.7970E+03,       1.1557E+04,       6.9200E+01        
2.0000E-01,       2.5670E+06,       7.2721E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       5.4780E-02,       8.4500E+00,       1.3169E+00,       6.5611E+03,       4.1703E+03,       4.7981E+03,       9.5983E+03,       5.9400E+01        
2.0000E-01,       1.8100E+06,       6.2073E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       5.8100E-02,       6.8500E+00,       1.2680E+00,       5.3967E+03,       4.4528E+03,       4.8196E+03,       8.0441E+03,       5.2100E+01        
2.0000E-01,       6.9467E+05,       6.0421E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       6.1420E-02,       3.5500E+00,       2.3725E+00,       3.1814E+03,       4.8916E+03,       4.7929E+03,       4.9984E+03,       3.0650E+01        
2.0000E-01,       2.2669E+05,       2.8007E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       6.4740E-02,       1.5500E+00,       1.8771E+00,       2.0788E+03,       5.2072E+03,       4.8047E+03,       3.3927E+03,       1.7200E+01        
2.0000E-01,       8.0718E+04,       1.7534E+05,       0.0000E+00,       0.0000E+00,       7.5000E-01,       6.8060E-02,       3.0000E-01,       1.1286E+00,       1.6031E+03,       5.3829E+03,       4.7749E+03,       2.6731E+03,       1.3750E+01        
2.0000E-01,       4.0606E+04,       8.4829E+02,       0.0000E+00,       0.0000E+00,       7.5000E-01,       7.1380E-02,       0.0000E+00,       0.0000E+00,       1.4118E+03,       5.5531E+03,       4.8206E+03,       2.4925E+03,       1.1550E+01        
2.0000E-01,       1.1604E+07,       3.7166E+05,       5.8944E+01,       1.0476E+02,       7.7500E-01,       8.3000E-03,       2.0150E+01,       5.8714E-01,       1.7132E+04,       6.0300E+02,       4.7919E+03,       2.1518E+04,       1.0930E+02        
2.0000E-01,       1.0486E+07,       4.9787E+05,       1.1976E+01,       5.3558E+01,       7.7500E-01,       1.1620E-02,       1.9400E+01,       7.5394E-01,       1.6767E+04,       8.6390E+02,       4.8033E+03,       2.1220E+04,       1.0840E+02        
2.0000E-01,       9.3389E+06,       4.4408E+05,       0.0000E+00,       0.0000E+00,       7.7500E-01,       1.4940E-02,       1.8400E+01,       5.9824E-01,       1.5835E+04,       1.0971E+03,       4.8065E+03,       2.0099E+04,       1.0430E+02        
2.0000E-01,       8.8719E+06,       4.7448E+05,       0.0000E+00,       0.0000E+00,       7.7500E-01,       1.8260E-02,       1.7800E+01,       6.1559E-01,       1.5277E+04,       1.3466E+03,       4.7869E+03,       1.9490E+04,       1.0260E+02        
