#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       6.6147E+06,       2.2257E+05,       1.5542E+02,       3.1161E+00,       6.0000E-01,       8.3000E-03,       2.1000E+01,       0.0000E+00,       1.0082E+04,       2.8410E+02,       3.0948E+03,       1.5548E+04,       7.0400E+01        
2.0000E-01,       6.6267E+06,       1.9255E+05,       1.5784E+02,       3.3073E+00,       6.0000E-01,       1.1620E-02,       2.1000E+01,       0.0000E+00,       1.0183E+04,       3.9890E+02,       3.1685E+03,       1.5673E+04,       7.2500E+01        
2.0000E-01,       6.8644E+06,       1.8757E+05,       1.6164E+02,       2.3462E+00,       6.0000E-01,       1.4940E-02,       2.1000E+01,       0.0000E+00,       1.0488E+04,       5.2945E+02,       3.2371E+03,       1.6073E+04,       7.2650E+01        
2.0000E-01,       6.9114E+06,       2.3779E+05,       1.6556E+02,       3.4347E+00,       6.0000E-01,       1.8260E-02,       2.1000E+01,       0.0000E+00,       1.0672E+04,       6.6710E+02,       3.3029E+03,       1.6311E+04,       8.0100E+01        
2.0000E-01,       7.2476E+06,       2.9270E+05,       1.6785E+02,       3.6271E+00,       6.0000E-01,       2.1580E-02,       2.1000E+01,       0.0000E+00,       1.0929E+04,       7.9440E+02,       3.3619E+03,       1.6684E+04,       7.6800E+01        
2.0000E-01,       7.4078E+06,       2.1427E+05,       1.7297E+02,       3.2309E+00,       6.0000E-01,       2.4900E-02,       2.1000E+01,       0.0000E+00,       1.1194E+04,       9.5680E+02,       3.4659E+03,       1.6997E+04,       8.2500E+01        
2.0000E-01,       7.5031E+06,       2.3608E+05,       1.7495E+02,       3.3449E+00,       6.0000E-01,       2.8220E-02,       2.1000E+01,       0.0000E+00,       1.1318E+04,       1.0987E+03,       3.5081E+03,       1.7218E+04,       7.6750E+01        
2.0000E-01,       7.8129E+06,       2.5636E+05,       1.8066E+02,       3.4404E+00,       6.0000E-01,       3.1540E-02,       2.1000E+01,       0.0000E+00,       1.1722E+04,       1.2995E+03,       3.6231E+03,       1.7717E+04,       8.0450E+01        
2.0000E-01,       7.9414E+06,       2.7870E+05,       1.8560E+02,       4.7926E+00,       6.0000E-01,       3.4860E-02,       2.1000E+01,       0.0000E+00,       1.1946E+04,       1.4657E+03,       3.7064E+03,       1.8029E+04,       8.7800E+01        
2.0000E-01,       8.0462E+06,       3.1416E+05,       1.8638E+02,       5.6199E+00,       6.0000E-01,       3.8180E-02,       2.1000E+01,       0.0000E+00,       1.2045E+04,       1.6010E+03,       3.7487E+03,       1.8188E+04,       8.4800E+01        
